,task 1,task 2,task 3,task 4
0,0.0,0.0,0.0,0.0
1,0.051111111111111114,0.0,0.0,0.021111111111111112
2,0.03428571428571429,0.0,0.0,0.0
3,0.051111111111111114,0.04,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.02
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.06999999999999999
11,0.0,0.01,0.0,0.02222222222222222
12,0.0,0.01,0.01111111111111111,0.0
13,0.0,0.04111111111111111,0.0,0.0
14,0.01111111111111111,0.1175,0.0,0.0
15,0.0,0.2844444444444445,0.0,0.0
16,0.01,0.12285714285714285,0.0,0.0
17,0.0,0.04222222222222222,0.02,0.0
18,0.02,0.04,0.02,0.0
19,0.021111111111111112,0.030000000000000006,0.0,0.0
20,0.031111111111111114,0.01,0.0,0.0
21,0.0,0.0,0.0,0.04
22,0.0,0.02,0.0,0.030000000000000006
23,0.0,0.030000000000000006,0.01,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.05222222222222223,0.0
26,0.01,0.0,0.0,0.0
27,0.0,0.01,0.0,0.0
28,0.01,0.0,0.0,0.0
29,0.02222222222222222,0.0,0.01,0.0
30,0.030000000000000006,0.0,0.0,0.0
31,0.0,0.030000000000000006,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.030000000000000006
34,0.0,0.0,0.030000000000000006,0.0
35,0.0,0.0,0.01111111111111111,0.0
36,0.02,0.01,0.0,0.0
37,0.04,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,,,
40,0.0,,,
