,task 2-task 1,task 3-task 1,task 4-task 1,task 3-task 2,task 4-task 2,task 4-task 3
0,-0.02305555555555556,-0.030555555555555558,0.012986111111111108,-0.0075000000000000015,0.036041666666666666,0.043541666666666666
1,-0.02500000000000001,-0.04472222222222223,-0.011388888888888893,-0.01972222222222222,0.013611111111111115,0.03333333333333334
2,-0.016944444444444446,-0.035833333333333335,-0.005555555555555564,-0.018888888888888893,0.011388888888888882,0.03027777777777777
3,-0.005277777777777777,0.025,0.035555555555555556,0.030277777777777782,0.04083333333333333,0.010555555555555554
4,0.002777777777777782,-0.017499999999999998,0.04083333333333334,-0.02027777777777778,0.03805555555555556,0.05833333333333334
5,-0.0024999999999999996,0.01777777777777778,-0.004999999999999999,0.02027777777777778,-0.0025,-0.022777777777777782
6,-0.025833333333333333,0.015555555555555552,0.015833333333333338,0.041388888888888885,0.04166666666666667,0.0002777777777777865
7,-0.022222222222222227,-0.022777777777777782,-0.03805555555555556,-0.0005555555555555557,-0.015833333333333335,-0.015277777777777777
8,-0.027500000000000004,-0.004722222222222232,-0.03500000000000001,0.022777777777777772,-0.007500000000000007,-0.03027777777777778
9,-0.04497354497354498,-0.05925925925925926,-0.05925925925925926,-0.014285714285714284,-0.014285714285714284,0.0
10,,,,,,
